Timestamp,Temp,Humidity,Light,Fullness,Status
2026-02-22 08:36:52,24.43,47.18,223,16.0%,Plenty of Space
2026-02-22 08:37:03,24.44,47.16,225,20.2%,Plenty of Space
2026-02-22 08:37:13,24.47,46.82,222,16.9%,Plenty of Space
2026-02-22 08:37:23,24.44,48.33,236,17.8%,Plenty of Space
2026-02-22 08:37:33,24.40,47.16,235,17.1%,Plenty of Space
2026-02-22 08:37:43,24.39,47.11,224,15.3%,Plenty of Space
2026-02-22 08:37:53,24.38,47.07,222,19.8%,Plenty of Space
2026-02-22 08:38:03,24.38,47.06,223,18.0%,Plenty of Space
2026-02-22 08:38:13,24.39,47.06,221,13.6%,Plenty of Space
2026-02-22 08:38:23,24.38,47.40,220,17.1%,Plenty of Space
2026-02-22 08:38:33,24.38,47.14,220,17.1%,Plenty of Space
2026-02-22 08:38:43,24.36,47.08,219,23.1%,Plenty of Space
2026-02-22 08:38:53,24.33,47.08,229,20.7%,Plenty of Space
2026-02-22 08:39:03,24.33,47.05,231,18.0%,Plenty of Space
2026-02-22 08:39:13,24.33,47.01,222,18.7%,Plenty of Space
2026-02-22 08:39:24,24.32,48.05,223,18.2%,Plenty of Space
2026-02-22 08:39:34,24.33,47.16,225,17.3%,Plenty of Space
2026-02-22 08:39:44,24.33,47.03,224,19.8%,Plenty of Space
2026-02-22 08:39:54,24.33,47.12,221,21.3%,Plenty of Space
2026-02-22 08:40:04,24.26,47.14,222,25.3%,Plenty of Space
2026-02-22 08:40:14,24.28,47.33,219,15.3%,Plenty of Space
2026-02-22 08:40:24,24.29,47.22,219,18.4%,Plenty of Space
2026-02-22 08:40:34,24.28,47.14,220,13.8%,Plenty of Space
2026-02-22 08:40:44,24.32,47.04,229,14.2%,Plenty of Space
2026-02-22 08:40:54,24.31,47.22,230,15.8%,Plenty of Space
2026-02-22 08:41:04,24.29,47.27,222,18.4%,Plenty of Space
2026-02-22 08:41:14,24.28,47.13,228,14.4%,Plenty of Space
2026-02-22 08:41:24,24.31,46.98,240,13.8%,Plenty of Space
2026-02-22 08:41:35,24.35,49.92,302,13.3%,Plenty of Space
2026-02-22 08:41:45,24.38,51.22,235,14.4%,Plenty of Space
2026-02-22 08:41:55,24.39,48.65,231,15.3%,Plenty of Space
2026-02-22 08:42:05,24.40,47.66,221,15.6%,Plenty of Space
2026-02-22 08:42:15,24.39,47.54,221,14.0%,Plenty of Space
2026-02-22 08:42:25,24.33,47.37,217,12.4%,Plenty of Space
2026-02-22 08:42:35,24.33,47.24,218,11.6%,Plenty of Space
2026-02-22 08:42:45,24.35,47.50,220,13.6%,Plenty of Space
2026-02-22 08:42:55,24.33,47.53,225,14.4%,Plenty of Space
2026-02-22 08:43:06,24.32,47.48,219,10.4%,Plenty of Space
2026-02-22 08:43:16,24.32,47.44,227,11.3%,Plenty of Space
2026-02-22 08:43:26,24.29,47.50,216,14.4%,Plenty of Space
2026-02-22 08:43:36,24.28,47.75,219,14.4%,Plenty of Space
2026-02-22 08:43:46,24.29,47.71,222,11.6%,Plenty of Space
2026-02-22 08:43:56,24.32,48.05,222,19.3%,Plenty of Space
2026-02-22 08:44:06,24.33,47.75,220,13.1%,Plenty of Space
2026-02-22 08:44:16,24.33,47.60,222,13.1%,Plenty of Space
2026-02-22 08:44:26,24.35,47.64,228,11.6%,Plenty of Space
